accession,name
Q9BQI3,E2AK1_HUMAN
Q9BRS2,RIOK1_HUMAN
Q9BUB5,MKNK1_HUMAN
Q9BVS4,RIOK2_HUMAN
Q9BWU1,CDK19_HUMAN
Q9BX84,TRPM6_HUMAN
Q9BXA6,TSSK6_HUMAN
Q9BXA7,TSSK1_HUMAN
Q9BXM7,PINK1_HUMAN
Q9BXU1,STK31_HUMAN
Q9BYP7,WNK3_HUMAN
Q9BYT3,STK33_HUMAN
Q9BZL6,KPCD2_HUMAN
Q9C098,DCLK3_HUMAN
Q9C0K7,STRAB_HUMAN
Q9H093,NUAK2_HUMAN
Q9H0K1,SIK2_HUMAN
Q9H1R3,MYLK2_HUMAN
Q9H2G2,SLK_HUMAN
Q9H2K8,TAOK3_HUMAN
Q9H2X6,HIPK2_HUMAN
Q9H3Y6,SRMS_HUMAN
Q9H422,HIPK3_HUMAN
Q9H4A3,WNK1_HUMAN
Q9H4B4,PLK3_HUMAN
Q9H5K3,SG196_HUMAN
Q9H792,PEAK1_HUMAN
Q9HAZ1,CLK4_HUMAN
Q9HBH9,MKNK2_HUMAN
Q9HBY8,SGK2_HUMAN
Q9HC98,NEK6_HUMAN
Q9HCP0,KC1G1_HUMAN
Q9NQU5,PAK6_HUMAN
Q9NR20,DYRK4_HUMAN
Q9NRH2,SNRK_HUMAN
Q9NRM7,LATS2_HUMAN
Q9NRP7,STK36_HUMAN
Q9NSY0,NRBP2_HUMAN
Q9NSY1,BMP2K_HUMAN
Q9NWZ3,IRAK4_HUMAN
Q9NY57,ST32B_HUMAN
Q9NYL2,M3K20_HUMAN
Q9NYV4,CDK12_HUMAN
Q9NYY3,PLK2_HUMAN
Q9NZJ5,E2AK3_HUMAN
Q9P0L2,MARK1_HUMAN
Q9P1W9,PIM2_HUMAN
Q9P286,PAK5_HUMAN
Q9P289,STK26_HUMAN
Q9P2K8,E2AK4_HUMAN
Q9UBE8,NLK_HUMAN
Q9UBS0,KS6B2_HUMAN
Q9UEE5,ST17A_HUMAN
Q9UEW8,STK39_HUMAN
Q9UF33,EPHA6_HUMAN
Q9UHD2,TBK1_HUMAN
Q9UHY1,NRBP_HUMAN
Q9UIK4,DAPK2_HUMAN
Q9UK32,KS6A6_HUMAN
Q9UKE5,TNIK_HUMAN
Q9UKI8,TLK1_HUMAN
Q9UL54,TAOK2_HUMAN
Q9UM73,ALK_HUMAN
Q9UPE1,SRPK3_HUMAN
Q9UPZ9,CILK1_HUMAN
Q9UQ07,MOK_HUMAN
Q9UQ88,CD11A_HUMAN
Q9UQB9,AURKC_HUMAN
Q9UQM7,KCC2A_HUMAN
Q9Y243,AKT3_HUMAN
Q9Y2H1,ST38L_HUMAN
Q9Y2H9,MAST1_HUMAN
Q9Y2K2,SIK3_HUMAN
Q9Y2U5,M3K2_HUMAN
Q9Y3S1,WNK2_HUMAN
Q9Y463,DYR1B_HUMAN
Q9Y4K4,M4K5_HUMAN
Q9Y572,RIPK3_HUMAN
Q9Y5S2,MRCKB_HUMAN
Q9Y616,IRAK3_HUMAN
Q9Y6E0,STK24_HUMAN
Q9Y6M4,KC1G3_HUMAN
Q9Y6R4,M3K4_HUMAN
Q9Y6S9,RPKL1_HUMAN
